,Experiment number,M,N,Epsilon,Integrator,E1,E2,Training Loss
217,3.0,2.0,500.0,0.001,1.0,2.2220113665931682e-07,0.0004082073844772,1.5872333266041103e-08
218,3.0,2.0,500.0,0.001,2.0,1.3509500295896566e-05,0.0078726963842154,9.03845334527314e-07
219,3.0,2.0,500.0,0.001,3.0,1.6831271248044278e-05,0.0090443427071544,2.2716562643142665e-07
220,3.0,2.0,500.0,0.0,0.0,8.439674426080312e-08,0.0002409087521593,1.3408269211635388e-10
221,3.0,2.0,500.0,0.0,1.0,1.611980705622728e-07,0.0002962104867112,3.0207144510823865e-10
222,3.0,2.0,500.0,0.0,2.0,2.7103228458362665e-05,0.0115297782536736,8.904232976396322e-07
223,3.0,2.0,500.0,0.0,3.0,1.6673757429652294e-05,0.0089326104319375,2.160663262133837e-07
224,3.0,2.0,1000.0,0.1,0.0,0.0002249656211681,0.0202989820008389,0.0001526132127433
225,3.0,2.0,1000.0,0.1,1.0,0.0003345723668589,0.0275284775580474,0.0001559512762124
226,3.0,2.0,1000.0,0.1,2.0,0.0004354939553489,0.0287753556804258,0.0001664206322212
227,3.0,2.0,1000.0,0.1,3.0,0.0003394770689182,0.0244078344685589,0.0001686462244248
228,3.0,2.0,1000.0,0.01,0.0,6.056411210292334e-06,0.0029301404009244,1.7957258518233297e-06
229,3.0,2.0,1000.0,0.01,1.0,1.1287258309729992e-05,0.0045024487652226,1.6761893136352557e-06
230,3.0,2.0,1000.0,0.01,2.0,2.363622499500811e-05,0.0109046780908049,2.366835026602137e-06
231,3.0,2.0,1000.0,0.01,3.0,4.666671619680454e-05,0.0145414666383317,1.8915154399306669e-06
232,3.0,2.0,1000.0,0.001,0.0,1.254142891412405e-07,0.0005379657091227,1.7932065616960702e-08
233,3.0,2.0,1000.0,0.001,1.0,2.8132404151221165e-07,0.0010510454261476,1.6580750633781842e-08
234,3.0,2.0,1000.0,0.001,2.0,1.7935596508015197e-05,0.0093042544615115,1.0459379142855932e-06
235,3.0,2.0,1000.0,0.001,3.0,2.1404866586591423e-05,0.0102807545467466,2.346350325933189e-07
236,3.0,2.0,1000.0,0.0,0.0,5.76331589111596e-08,0.0001667504015536,8.852005317954578e-11
237,3.0,2.0,1000.0,0.0,1.0,7.88039301521265e-08,0.0001950417995824,1.4557676079486214e-10
238,3.0,2.0,1000.0,0.0,2.0,2.4346448138817505e-05,0.0113101656737864,1.0857633615818028e-06
239,3.0,2.0,1000.0,0.0,3.0,1.5361732118549766e-05,0.0086712374186716,2.1548446847851906e-07
240,3.0,2.0,1500.0,0.1,0.0,0.0008273555152844,0.0314250700445683,0.0001552596385479
241,3.0,2.0,1500.0,0.1,1.0,0.0007590141122623,0.0344393066406143,0.0001619930342293
242,3.0,2.0,1500.0,0.1,2.0,0.0009789321285188,0.0415688120871199,0.0001711819626435
243,3.0,2.0,1500.0,0.1,3.0,0.0007758168514255,0.0373176368222987,0.0001627071528066
244,3.0,2.0,1500.0,0.01,0.0,1.71595103013543e-05,0.0074924579320841,1.743136957089303e-06
245,3.0,2.0,1500.0,0.01,1.0,8.010619254859216e-06,0.0054823985066009,1.6073909471349537e-06
246,3.0,2.0,1500.0,0.01,2.0,3.2558567405515146e-05,0.0129207841022502,2.836153603725313e-06
247,3.0,2.0,1500.0,0.01,3.0,2.5178679723879774e-05,0.0108585336750784,1.928000222721643e-06
248,3.0,2.0,1500.0,0.001,0.0,1.9561967158470165e-07,0.0007092727353098,1.731510383779349e-08
249,3.0,2.0,1500.0,0.001,1.0,1.0264378696388025e-07,0.0005396159328863,1.6541647670450186e-08
250,3.0,2.0,1500.0,0.001,2.0,3.941040016280352e-05,0.0152251352413029,8.153170283563357e-07
251,3.0,2.0,1500.0,0.001,3.0,1.5665064734191552e-05,0.0084115361153403,2.245625192700749e-07
252,3.0,2.0,1500.0,0.0,0.0,3.1879966609444924e-08,0.0001437287663236,5.3688325583903744e-11
253,3.0,2.0,1500.0,0.0,1.0,3.5800545762396655e-08,0.0001253669905213,5.026369100077381e-11
254,3.0,2.0,1500.0,0.0,2.0,2.6477052005186792e-05,0.0111774819399613,1.1281670921186364e-06
255,3.0,2.0,1500.0,0.0,3.0,1.9247023958317315e-05,0.0099111447552251,2.028112713324257e-07
256,4.0,2.0,50.0,0.1,0.0,0.0188468733058984,0.1386008613266198,0.0001488216705355
257,4.0,2.0,50.0,0.1,1.0,0.0188447406889261,0.138582308240118,0.0001488225862733
258,4.0,2.0,50.0,0.1,2.0,0.010112216030286,0.1129830325409042,0.0001542334164959
259,4.0,2.0,50.0,0.1,3.0,0.0115609009161135,0.1235054788917258,0.0001520842360553
260,4.0,2.0,50.0,0.01,0.0,5.154814296745027e-05,0.010798734445935,1.6139110163730272e-06
261,4.0,2.0,50.0,0.01,1.0,5.155265600039469e-05,0.0107985073938697,1.6138795482311865e-06
262,4.0,2.0,50.0,0.01,2.0,9.293806111076894e-05,0.0172471784785908,2.510798290319916e-06
